x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	1198.023	1038.159	119.764	144.393	1.1539879729405609	0.8294307895812123
2	"N: 16"	2304.883	2108.452	245.859	184.177	1.0931636100798119	1.3349060957665724
3	"N: 32"	4597.221	4218.075	461.693	362.229	1.0898860262086378	1.274588727020752
4	"N: 64"	9997.664	9006.647	992.961	717.335	1.1100317354504956	1.3842360961057245
5	"N: 128"	18642.423	17432.001	1864.81	1405.37	1.0694367789446546	1.3269174665746388
6	"N: 256"	38133.61	36423.212	3721.35	2814.508	1.0469590106440916	1.3222026727229057
7	"N: 512"	77239.266	71356.138	7506.916	5557.871	1.0824473992692822	1.3506819427798882
8	"N: 1024"	149721.466	143754.426	14689.466	11601.903	1.0415085654475777	1.2661255657800277
9	"N: 4096"	0	574773.797	0	44428.264	0.0	0.0
