x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	1097.482	1030.583	115.75	93.787	1.0649137429978952	1.2341795771268937
2	"N: 16"	2511.191	2118.972	248.123	191.381	1.1850987176800825	1.296487112095767
3	"N: 32"	4698.575	4462.138	460.911	346.588	1.0529873795924733	1.3298527358131267
4	"N: 64"	9716.43	8980.167	906.63	701.235	1.0819876735031766	1.2929046610622688
5	"N: 128"	19157.348	18667.671	1797.031	1379.965	1.0262312850917505	1.3022294043689515
6	"N: 256"	38172.421	35535.724	3552.332	2676.307	1.0741984882593076	1.3273260504120044
7	"N: 512"	77134.555	71772.82	7183.75	5449.233	1.0747042543402918	1.3183047962896797
8	"N: 1024"	154387.857	145125.893	14966.15	11047.949	1.0638202033320132	1.354654153454184
9	"N: 4096"	0	572719.689	0	44307.416	0.0	0.0
