x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	43.216	38.622	585.705	306.626	1.1189477499870542	1.9101609126427639
2	"N: 16"	79.757	59.318	950.901	496.493	1.3445665733841332	1.9152354615271514
3	"N: 32"	169.634	96.784	1965.516	896.398	1.7527070590180192	2.1926822683673994
4	"N: 64"	299.035	218.838	3832.485	1752.075	1.3664674325299995	2.187397799751723
5	"N: 128"	604.041	444.568	7881.426	3505.972	1.3587145273613936	2.24800026925486
6	"N: 256"	1164.926	829.453	15553.824	6847.867	1.4044508851013862	2.271338505844229
7	"N: 512"	2538.18	1597.419	30296.566	13428.633	1.5889256356660335	2.2561169107831005
8	"N: 1024"	4724.444	3703.936	60939.01	27169.678	1.2755198793931646	2.2429051238663926
9	"N: 4096"	0	12747.904	0	110392.939	0.0	0.0
