x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	340.0	322.0	299.0	258.0	1.0559006211180124	1.1589147286821706
2	"N: 16"	689.0	637.0	593.0	519.0	1.0816326530612246	1.142581888246628
3	"N: 32"	1373.0	1238.0	1183.0	1022.0	1.1090468497576738	1.1575342465753424
4	"N: 64"	2720.0	2519.0	2400.0	2059.0	1.0797935688765383	1.1656143759106363
5	"N: 128"	5471.0	5099.0	4713.0	4104.0	1.0729554814669544	1.148391812865497
6	"N: 256"	11211.0	9947.0	9554.0	8263.0	1.12707348949432	1.1562386542418008
7	"N: 512"	21987.0	20021.0	19169.0	16403.0	1.098196893262075	1.168627690056697
8	"N: 1024"	43612.0	40635.0	38652.0	32542.0	1.073261966285222	1.1877573597197468
9	"N: 4096"	0	0	0	130656.0	0	0.0
