x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	1212.286	1788.397	190.523	235.085	0.6778617946686335	0.8104430312440181
2	"N: 16"	2438.686	3462.142	358.571	388.955	0.7043864751936808	0.9218829941767044
3	"N: 32"	5325.842	8056.29	755.179	752.375	0.661078734752597	1.003726864927729
4	"N: 64"	10329.433	15483.144	1445.166	1487.672	0.6671405368315376	0.9714278416210024
5	"N: 128"	20020.451	30170.839	2868.676	3016.73	0.6635695812105192	0.9509223563262208
6	"N: 256"	41502.814	60247.814	5968.521	6024.73	0.6888683795232803	0.9906702872991819
7	"N: 512"	81871.405	121863.283	11560.478	12227.81	0.6718299637471609	0.9454250597613145
8	"N: 1024"	165217.763	242169.823	22991.253	24044.373	0.6822392689282347	0.9562009789151084
9	"N: 4096"	0	0	0	96713.001	0	0.0
