x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	3312	2615	2152	1455	1.2665391969407265	1.4790378006872853
2	"N: 16"	6616	5103	4296	2783	1.2964922594552224	1.5436579231045635
3	"N: 32"	13224	10079	8584	5439	1.312034924099613	1.5782312925170068
4	"N: 64"	26440	20031	17160	10751	1.319954071189656	1.596130592503023
5	"N: 128"	52872	39935	34312	21375	1.3239514210592211	1.6052397660818714
6	"N: 256"	105736	79743	68616	42623	1.3259596453607214	1.6098350655749243
7	"N: 512"	211464	159359	137224	85119	1.3269661581711734	1.6121429998002796
8	"N: 1024"	422920	318591	274440	170111	1.3274700164160318	1.6132995514693347
9	"N: 4096"	0	1273983	0	680063	0.0	0.0
