x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	74.061	48.445	719.689	572.433	1.5287645783878627	1.2572458261490864
2	"N: 16"	123.822	77.436	1401.792	946.414	1.599023709902371	1.481161521279271
3	"N: 32"	232.192	168.02	2832.375	1919.202	1.3819307225330317	1.4758086954890626
4	"N: 64"	460.787	382.98	5605.381	3545.317	1.2031620450154055	1.5810662346977717
5	"N: 128"	932.348	653.334	11352.869	7010.049	1.427061809120603	1.6195135012608328
6	"N: 256"	1813.182	1432.143	22557.957	14546.379	1.2660621180985419	1.5507609831972615
7	"N: 512"	3305.226	2948.56	45592.587	28914.612	1.1209627750495157	1.5768009268116756
8	"N: 1024"	6958.092	5430.794	90409.342	57643.52	1.2812292272547992	1.5684216022893815
9	"N: 4096"	0	0	0	222677.993	0	0.0
