x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	43.022	24.791	498.294	306.167	1.7353878423621474	1.6275235410739892
2	"N: 16"	77.858	72.113	1070.933	484.226	1.0796666343100412	2.2116387802389794
3	"N: 32"	150.253	132.908	1931.161	937.998	1.130503807144792	2.0588114260371557
4	"N: 64"	292.052	236.319	3716.106	1772.838	1.235837998637435	2.096133995322754
5	"N: 128"	616.533	410.619	7541.092	3669.918	1.5014721676298466	2.0548393724328444
6	"N: 256"	1452.267	898.523	15333.88	6940.129	1.616282499168079	2.2094517263295828
7	"N: 512"	2369.008	1751.323	30623.28	13698.562	1.352696218801443	2.2355105594295224
8	"N: 1024"	5021.708	3466.934	59674.149	27531.321	1.448457916995247	2.1675003898287337
9	"N: 4096"	0	13770.51	0	108916.966	0.0	0.0
