x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	51.515	24.922	524.398	256.659	2.067049193483669	2.043170120665942
2	"N: 16"	84.693	66.275	1034.673	566.113	1.2779026782346283	1.8276792795784584
3	"N: 32"	160.895	107.799	1977.45	901.49	1.4925463130455756	2.1935351473671365
4	"N: 64"	316.134	242.713	3869.328	1809.061	1.3025013081293546	2.1388598836634034
5	"N: 128"	656.33	404.907	8089.589	3578.023	1.6209401171133127	2.2609102848137086
6	"N: 256"	1247.275	820.053	15351.414	7045.595	1.5209687666528873	2.1788669374268603
7	"N: 512"	2696.949	1669.588	30857.887	13786.918	1.6153380354913907	2.2382005173309945
8	"N: 1024"	5440.555	3659.989	64205.943	27562.525	1.4864949047661074	2.3294652068342794
9	"N: 4096"	0	15025.169	0	112104.414	0.0	0.0
