x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"len: 8"	377.593	170.289	5274.069	2087.064	2.217365772304729	2.5270279205620914
2	"len: 16"	639.288	220.183	9694.968	2297.726	2.9034394117620344	4.219375156132629
3	"len: 32"	1310.495	331.841	17807.572	2947.731	3.949165413556492	6.041111621107896
4	"len: 64"	2378.442	500.233	33678.616	4311.187	4.754668324560755	7.8119125892706585
5	"len: 128"	4601.019	923.147	67018.631	6653.187	4.984058876863598	10.073162080067792
6	"len: 256"	9365.082	1822.01	134250.133	12193.904	5.13997288708624	11.009610457815644
7	"len: 512"	18413.553	3388.773	264158.365	21322.07	5.433693257116956	12.388964345394232
8	"len: 1024"	0	6924.171	0	41547.791	0.0	0.0
9	"len: 4096"	0	0	0	158594.091	0	0.0
