x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	64.185	10.884	880.806	72.119	5.897188533627343	12.21323091002371
2	"N: 8"	257.417	6.348	2999.311	129.544	40.550882167611846	23.15283610201939
3	"N: 16"	1132.802	12.443	11175.891	130.715	91.03929920437193	85.49815246911218
4	"N: 32"	4123.045	23.162	43984.266	136.164	178.0090234003972	323.0241914162334
5	"N: 64"	19041.267	24.282	176994.896	454.61	784.1721027921917	389.33348584501
6	"N: 128"	0	56.526	0	1528.718	0.0	0.0
7	"N: 256"	0	64.143	0	5473.199	0.0	0.0
8	"N: 512"	0	107.744	0	16934.125	0.0	0.0
9	"N: 1024"	0	211.577	0	0	0.0	0
