x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"len: 8"	8520.971	6264.302	1885.481	782.011	1.3602426894488804	2.4110671077516814
2	"len: 16"	11986.608	8031.061	3262.721	968.724	1.4925310615870058	3.3680604589129617
3	"len: 32"	18152.176	9226.493	6040.503	1210.616	1.9673971464564053	4.989611074031733
4	"len: 64"	28312.779	10316.267	11626.529	1857.739	2.74447908337386	6.25842973636232
5	"len: 128"	49121.174	13733.093	23107.494	3072.938	3.5768471093875207	7.519674656631536
6	"len: 256"	93360.039	22830.298	46833.599	5541.23	4.089304440966999	8.451841739108467
7	"len: 512"	178721.452	40707.4	92891.484	10268.251	4.390392213700703	9.046475782487201
8	"len: 1024"	0	74388.754	0	19773.04	0.0	0.0
9	"len: 4096"	0	0	0	77249.163	0	0.0
