x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	3	0	4	0	0	0
2	"N: 8"	7	0	8	0	0	0
3	"N: 16"	15	0	17	0	0	0
4	"N: 32"	31	0	35	1	0	35.0
5	"N: 64"	61	1	70	2	61.0	35.0
6	"N: 128"	118	2	139	4	59.0	34.75
7	"N: 256"	0	4	0	8	0.0	0.0
8	"N: 512"	0	9	0	16	0.0	0.0
9	"N: 1024"	0	18	0	34	0.0	0.0
10	"N: 2048"	0	35	0	68	0.0	0.0
11	"N: 4096"	0	69	0	132	0.0	0.0
