x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1.0509646	0.05228992829063738	0.3909946	0.03165261949096788	0.6612334	0.018185188199191116	0.19414960000000003	0.0016850059465770466	2.6879261248109305	3.4057932645753577
2	"N: 8"	2.026609	0.02733199877798923	0.7135564000000001	0.2565448540529316	1.2927950000000001	0.010253650764483849	0.22970640000000003	0.004147461855159133	2.840152509318114	5.6280321314512785
3	"N: 16"	4.0237726	0.05528259895699554	0.7780348	0.061144299192647536	2.5749784	0.0239566447116452	0.342198	0.03993442563503324	5.171712884822118	7.524820133373076
4	"N: 32"	7.991965399999999	0.17792247759133736	1.2666362000000002	0.06134325285603947	5.193523999999999	0.04962679097020063	0.5092654	0.10477821419856323	6.309598130860303	10.198069611640609
5	"N: 64"	15.814720400000002	0.36634258681764	2.4411932000000003	0.1985217806281215	10.20785	0.06080450295167282	0.7615402	0.033124981819768626	6.478274804304715	13.404216875222083
6	"N: 128"	31.5529734	0.3816475133526233	4.489818	0.18681703804203717	20.478301599999998	0.137913007710803	1.4862471999999998	0.10844533492114815	7.0276731484438795	13.778529978054795
7	"N: 256"	63.372567599999996	0.3786652790751221	8.766500800000001	0.30266541770701183	41.19589	0.30529252598450696	2.6886064000000003	0.20670075711288521	7.228946765167692	15.322395275113529
8	"N: 512"	126.5254588	1.373436728801933	16.1045078	0.4992225821933144	82.68868259999998	0.6047094844308616	5.633488000000001	0.5305740585279306	7.856524419827347	14.678061371569438
9	"N: 1024"	0	0	31.347808	1.1380754962481183	0	0	10.8967702	1.368691109506802	0.0	0.0
10	"N: 2048"	0	0	62.1132914	1.3612409176545652	0	0	19.616726399999997	0.8441405939644416	0.0	0.0
11	"N: 4096"	0	0	122.72953319999999	1.5851557492363195	0	0	39.46617440000001	1.8895944772343745	0.0	0.0
