x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	1.4775722	0.057574214847968146	0.732924	0.039162628287692826	2.9406888	0.03853847460603498	1.0679573999999998	0.012820779517642435	2.015996474395708	2.753563765745713
2	"N: 8"	2.6023968	0.015746709337509265	1.0888768	0.2641866736256014	5.5002508	0.04602235289248027	1.2547698	0.009643310829792903	2.3899827785843177	4.3834740045544605
3	"N: 16"	4.813450800000001	0.044812634224736136	1.194618	0.06505972665482083	10.6922026	0.0960144947382427	1.6812381999999997	0.06949483323067984	4.029280322245271	6.359719045165641
4	"N: 32"	9.1505234	0.135925516276526	1.8158232	0.0639027669460407	21.346110399999997	0.17098585318627973	2.343788	0.0889767529706495	5.039325084072062	9.107526107310045
5	"N: 64"	18.0187702	0.20375087899432395	3.2365872	0.181331249452928	41.7695752	0.2930744644628048	3.626647599999999	0.04124562835792428	5.56721295814307	11.517406654012925
6	"N: 128"	35.58155360000001	0.5434489619438428	5.743447	0.15789110852483101	83.0486696	0.8155648271277057	6.474684400000001	0.11268179201911925	6.195156601950015	12.826674548028933
7	"N: 256"	71.40222680000001	0.5130353421359589	10.965668999999998	0.3738948230104289	166.04881680000003	0.9398096427812196	12.2912466	0.5033269691091866	6.51143371188753	13.509517968665605
8	"N: 512"	141.32951580000002	1.2241252885840366	21.072837999999997	0.19230571015963088	333.1161472	3.9979006921974154	23.867096	0.62007057861537	6.7067148620418395	13.95712939689018
9	"N: 1024"	0	0	40.92296	0.9321825990377648	0	0	45.825146999999994	1.3038924783817105	0.0	0.0
10	"N: 2048"	0	0	80.9278226	1.3423489520756675	0	0	88.189476	0.7237909534480215	0.0	0.0
11	"N: 4096"	0	0	163.4889234	1.9613183046794433	0	0	175.0908394	1.9500154694473142	0.0	0.0
