x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	4.911193399999999	0.29068415663231467	0.7903386	0.03673029470396335	2.8048887999999996	0.0725266728160061	0.2848696	0.016483062562521578	6.214037122823052	9.846220165296682
2	"N: 8"	9.651654800000001	0.15023062853812463	1.2146421999999997	0.053000919106747604	5.525289	0.05871296633623623	0.33828800000000003	0.012215575303685054	7.946088815290629	16.333091921676203
3	"N: 16"	19.1920024	0.38720915317053084	1.9808487999999997	0.08465519313403053	11.259485999999999	0.08375431321908117	0.52631	0.10186949340013428	9.688777053554013	21.393258725845985
4	"N: 32"	38.8122076	0.1978374664461724	3.523221	0.10953276637244219	22.3363402	0.1447730607597966	0.910305	0.15077540622130653	11.016114969796105	24.537204783012285
5	"N: 64"	78.978867	1.131305720850559	6.515852000000001	0.11038086224885188	44.600313799999995	0.7002544774107202	1.4399410000000001	0.20914045740315287	12.121034517051644	30.973709200585294
6	"N: 128"	145.97049760000002	0.6045054038870468	12.3532634	0.5342254410847918	88.7324144	4.97762028418808	2.3427192000000003	0.02668733169427034	11.816351102818711	37.87582156666492
7	"N: 256"	0	0	25.0412378	0.5065926365250092	0	0	4.9002418	0.68665608032301	0.0	0.0
8	"N: 512"	0	0	48.66011660000001	0.6427602253029059	0	0	9.2695298	1.4170910853686716	0.0	0.0
9	"N: 1024"	0	0	99.108659	0.7669597647107721	0	0	17.071901399999998	0.12682684676140127	0.0	0.0
10	"N: 2048"	0	0	195.58508300000003	1.6327854385355072	0	0	35.300056	3.033493827910977	0.0	0.0
11	"N: 4096"	0	0	380.9852054	2.62499025104465	0	0	67.6884448	1.5573959240829394	0.0	0.0
