x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	679.564	216.694	428.044	78.972	3.1360536055451464	5.420199564402573
2	"N: 8"	2318.644	196.881	1470.939	111.726	11.776880450627536	13.16559261049353
3	"N: 16"	9262.218	217.399	5736.396	145.612	42.60469459381138	39.39507732879158
4	"N: 32"	36780.732	303.948	23635.547	183.338	121.00994907023572	128.9178839084096
5	"N: 64"	150849.471	467.099	94975.53	448.318	322.94967662101607	211.84857623383402
6	"N: 128"	0	1296.866	0	1374.008	0.0	0.0
7	"N: 256"	0	2247.235	0	5012.483	0.0	0.0
8	"N: 512"	0	8027.3	0	28064.831	0.0	0.0
9	"N: 1024"	0	24711.432	0	0	0.0	0
