x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	61.393	40.756	541.469	523.033	1.5063548925311612	1.0352482539342642
2	"N: 16"	93.757	94.893	1122.78	912.586	0.988028621710769	1.2303278814270655
3	"N: 32"	199.988	175.125	2170.088	1783.589	1.1419728765167738	1.216697344511544
4	"N: 64"	333.402	305.617	4179.267	3472.378	1.0909144452042916	1.2035748988157395
5	"N: 128"	738.653	716.143	8258.713	7097.677	1.0314322698120348	1.163579717702003
6	"N: 256"	1339.018	1383.981	16371.646	13875.203	0.9675118372289794	1.1799211874593836
7	"N: 512"	3140.185	3010.387	33497.614	28043.221	1.043116715558498	1.1944995191529533
8	"N: 1024"	6365.605	5126.381	67245.926	56236.055	1.241734666229451	1.1957795759322023
9	"N: 4096"	0	0	0	228775.809	0	0.0
