x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	5096	4401	3728	3033	1.1579186548511702	1.2291460600065942
2	"N: 16"	10184	8673	7448	5937	1.1742188400784042	1.2545056425804277
3	"N: 32"	20360	17217	14888	11745	1.182552128709996	1.2676032354193274
4	"N: 64"	40712	34305	29768	23361	1.1867657775834426	1.2742605196695347
5	"N: 128"	81416	68481	59528	46593	1.188884508111739	1.2776168093919686
6	"N: 256"	162824	136833	119048	93057	1.1899468695417041	1.279301933223723
7	"N: 512"	325640	273537	238088	185985	1.1904788017708756	1.2801462483533619
8	"N: 1024"	651272	546945	476168	371841	1.1907449560741938	1.2805688452860229
