x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	281.0	202.0	263.0	150.0	1.391089108910891	1.7533333333333334
2	"N: 16"	560.0	401.0	530.0	277.0	1.3965087281795512	1.9133574007220218
3	"N: 32"	1122.0	776.0	1070.0	532.0	1.4458762886597938	2.011278195488722
4	"N: 64"	2250.0	1551.0	2095.0	1039.0	1.4506769825918762	2.0163618864292587
5	"N: 128"	4511.0	3111.0	4217.0	2089.0	1.4500160720025714	2.018669219722355
6	"N: 256"	9070.0	6302.0	8456.0	4140.0	1.439225642653126	2.042512077294686
7	"N: 512"	18052.0	12391.0	16893.0	8312.0	1.4568638527963844	2.0323628488931664
8	"N: 1024"	35754.0	25239.0	33323.0	16747.0	1.4166171401402592	1.9897892159789814
9	"N: 4096"	0	99751.0	0	66648.0	0.0	0.0
