x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"len: 8"	39399	16280	34433	13365	2.420085995085995	2.576356154133932
2	"len: 16"	70679	21128	61017	15861	3.345276410450587	3.8469831662568565
3	"len: 32"	133239	30824	114185	20853	4.322573319491306	5.475710928883134
4	"len: 64"	258359	50216	220521	30837	5.14495379958579	7.151182021597432
5	"len: 128"	508599	89000	433193	50805	5.714595505617978	8.526582029327821
6	"len: 256"	1009079	166568	858537	90741	6.05806037174007	9.461401130690646
7	"len: 512"	2010039	321704	1709225	170613	6.24810073856713	10.018140469952465
8	"len: 1024"	0	631976	0	330357	0.0	0.0
9	"len: 4096"	0	0	0	1288821	0	0.0
