x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	61.577	46.798	778.697	557.963	1.3158040941920595	1.3956068771585213
2	"N: 16"	105.834	97.553	1408.751	953.081	1.0848871895277439	1.478102071072658
3	"N: 32"	222.753	177.507	2855.474	1818.389	1.25489698997786	1.5703317606958689
4	"N: 64"	412.839	398.844	5564.427	3620.58	1.0350889069410596	1.536888288616741
5	"N: 128"	942.265	644.828	11088.191	7086.429	1.461265639829536	1.5647078380380302
6	"N: 256"	1748.16	1357.018	22108.078	14157.481	1.2882364124867909	1.5615827420146282
7	"N: 512"	2957.036	2852.49	44497.925	28375.143	1.036650785804683	1.568200907392784
8	"N: 1024"	6302.531	5399.618	91719.533	56262.481	1.1672179402320682	1.6302077578128842
