x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	0.481	0.441	0.736	0.666	1.090702947845805	1.105105105105105
2	"N: 16"	0.926	0.841	1.435	1.286	1.1010701545778836	1.1158631415241058
3	"N: 32"	1.818	1.642	2.834	2.524	1.1071863580998782	1.1228209191759113
4	"N: 64"	3.601	3.244	5.631	5.001	1.1100493218249075	1.1259748050389922
5	"N: 128"	7.167	6.447	11.224	9.955	1.1116798510935317	1.1274736313410347
6	"N: 256"	14.298	12.853	22.412	19.863	1.1124251147592001	1.1283290540200372
7	"N: 512"	28.561	25.665	44.787	39.678	1.1128384960062343	1.1287615303190686
8	"N: 1024"	57.088	51.288	89.537	79.309	1.1130868819216972	1.1289639259100481
