x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	0.441	0.321	0.759	0.538	1.3738317757009346	1.4107806691449813
2	"N: 16"	0.848	0.59	1.48	1.007	1.4372881355932203	1.4697120158887786
3	"N: 32"	1.661	1.127	2.922	1.942	1.4738243123336292	1.5046343975283214
4	"N: 64"	3.286	2.203	5.805	3.816	1.4916023604176125	1.5212264150943395
5	"N: 128"	6.537	4.354	11.572	7.561	1.5013780431786863	1.5304853855310143
6	"N: 256"	13.039	8.656	23.105	15.05	1.5063539741219962	1.5352159468438538
7	"N: 512"	26.043	17.259	46.171	30.029	1.5089518512080653	1.5375470378633986
8	"N: 1024"	52.05	34.466	92.304	59.988	1.510183949399408	1.5387077415483097
9	"N: 4096"	0	137.706	0	239.738	0.0	0.0
