x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	46.39	44.795	565.063	359.932	1.035606652528184	1.5699159841303356
2	"N: 16"	73.849	59.659	1049.458	535.101	1.237851791012253	1.9612334867623122
3	"N: 32"	159.006	118.459	1931.244	956.8	1.3422872048556884	2.018440635451505
4	"N: 64"	306.693	231.901	3915.503	1774.739	1.3225169361063556	2.206241593834361
5	"N: 128"	693.118	435.163	7623.286	3501.777	1.5927778786339832	2.176976432251397
6	"N: 256"	1226.899	770.263	16009.615	7013.685	1.5928312797057627	2.282625324633199
7	"N: 512"	2689.572	1769.991	31063.421	14243.941	1.5195399298640502	2.180816460837629
8	"N: 1024"	5202.199	3378.923	62375.996	28328.859	1.5396027077266927	2.2018534526928883
9	"N: 4096"	0	14173.83	0	110722.272	0.0	0.0
