x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	1321.195	1691.009	193.922	237.107	0.7813057174740051	0.8178670389317902
2	"N: 16"	2592.808	3595.622	363.945	393.869	0.7211013838495816	0.9240255008645005
3	"N: 32"	5284.528	7575.169	734.232	767.265	0.6976118948633357	0.9569470782584896
4	"N: 64"	10714.283	14836.009	1499.3	1521.526	0.722180945023692	0.985392296943989
5	"N: 128"	19827.61	29218.579	2880.317	3003.825	0.6785959714194177	0.9588830907259911
6	"N: 256"	43085.024	59594.194	5806.316	6063.276	0.7229735165140415	0.957620269966269
7	"N: 512"	80677.877	121778.429	11582.032	12031.709	0.6624972719922343	0.9626256752054092
8	"N: 1024"	162115.754	243497.658	22841.364	24935.522	0.6657795205570314	0.916017077966124
