x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	979.978	1036.268	131.229	143.015	0.9456800750385035	0.9175890640841872
2	"N: 16"	2227.803	2155.307	235.186	193.895	1.0336360434963558	1.2129554655870445
3	"N: 32"	4636.46	4535.976	455.432	397.143	1.0221526745291423	1.146770810514097
4	"N: 64"	10691.01	8989.412	933.721	703.839	1.189289132592877	1.326611625670075
5	"N: 128"	19118.692	17937.938	1839.112	1404.915	1.0658243996606522	1.3090557079965692
6	"N: 256"	37976.209	34714.008	3638.255	2764.288	1.093973620101718	1.3161635111826264
7	"N: 512"	77146.087	71721.223	7260.465	5591.052	1.0756381970787086	1.2985865629580982
8	"N: 1024"	152268.21	143392.606	14491.199	11151.74	1.061897222231947	1.2994563180275007
9	"N: 4096"	0	575280.51	0	43687.004	0.0	0.0
