x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 8"	1515.109	2648.586	201.684	202.202	0.5720444795826906	0.9974382053589974
2	"N: 16"	3063.05	3467.214	454.358	413.752	0.8834326349628261	1.098140915330923
3	"N: 32"	5700.477	7327.31	812.634	786.376	0.7779767745598316	1.033391151306754
4	"N: 64"	11578.394	14524.787	1624.284	1557.056	0.7971472490439964	1.0431763533231946
5	"N: 128"	22597.581	30237.874	3201.056	3087.231	0.7473270442227519	1.0368696090444802
6	"N: 256"	46014.309	63187.184	6830.346	6122.551	0.7282221818905555	1.1156045903088434
7	"N: 512"	92140.197	124474.296	13075.027	12378.579	0.7402347308716652	1.0562623545077348
8	"N: 1024"	185312.263	246946.774	25907.046	24437.189	0.7504137834981396	1.0601483664917435
