x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	7210	547	6330	495	13.180987202925046	12.787878787878787
2	"N: 8"	28754	611	25202	559	47.06055646481178	45.08407871198569
3	"N: 16"	114850	739	100578	687	155.4127198917456	146.40174672489084
4	"N: 32"	459074	995	401858	943	461.3809045226131	426.1484623541888
5	"N: 64"	1835650	1507	1606530	1455	1218.0822826808228	1104.1443298969073
6	"N: 128"	0	2531	0	2479	0.0	0.0
7	"N: 256"	0	4579	0	4527	0.0	0.0
8	"N: 512"	0	8675	0	8623	0.0	0.0
9	"N: 1024"	0	16867	0	0	0.0	0
