x	Input	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	491.0	38.0	436.0	46.0	12.921052631578947	9.478260869565217
2	"N: 8"	1953.0	46.0	1703.0	65.0	42.45652173913044	26.2
3	"N: 16"	7876.0	71.0	6688.0	128.0	110.92957746478874	52.25
4	"N: 32"	31164.0	164.0	26906.0	361.0	190.02439024390245	74.53185595567867
5	"N: 64"	124894.0	571.0	105438.0	1300.0	218.72854640980736	81.10615384615384
6	"N: 128"	0	2720.0	0	5707.0	0.0	0.0
7	"N: 256"	0	15403.0	0	28178.0	0.0	0.0
8	"N: 512"	0	101691.0	0	152464.0	0.0	0.0
9	"N: 1024"	0	727053.0	0	0	0.0	0
